#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
Russia_East_Arkhangelsk;East Arkhangel'sk;Est d'Arkhangelsk;Ost-Archangelsk;Wschodnie Archangielsk;Este de Arcángel;Est di Arcangelo;Östra Archangelsk;Východní Archangelsk;Keleti Arhangelszk;Oost-Archangelsk;Leste de Arcangel;Восточный Архангельск;Itä-Arhangel'sk;阿尔汉格尔斯克东部
Russia_South_Komi;South Komi;Komi du Sud;Südkomi;Południowa Komi;Komi Meridional;Komi Meridionale;Södra Komi;Jižní Komi;Déli Komi;Zuid-Komi;Komi do Sul;Южная Коми;Etelä-Komi;科米南部
Russia_North_Komi;North Komi;Komi du Nord;Nordkomi;Północna Komi;Komi Septentrional;Komi Settentrionale;Norra Komi;Severní Komi;Északi Komi;Noord-Komi;Komi do Norte;Северная Коми;Pohjois-Komi;科米北部
Latvia_West_Latvia;West Latvia;Ouest de la Lettonie;Westlettland;Zachodnia Łotwa;Letonia Occidental;Lettonia Occidentale;Västra Lettland;Západní Lotyšsko;Nyugati Lettország;West-Letland;Letónia Ocidental;Западная Латвия;Länsi-Latvia;拉脱维亚西部
Latvia_East_Latvia;East Latvia;Est de la Lettonie;Ostlettland;Wschodnia Łotwa;Letonia Oriental;Lettonia Orientale;Östra Lettland;Východní Lotyšsko;Keleti Lettország;Oost-Letland;Letónia Oriental;Восточная Латвия;Itä-Latvia;拉脱维亚东部
Russia_East_Murmansk;East Murmansk;Est de Mourmansk;Ost-Murmansk;Wschodnie Murmańsk;Este de Múrmansk;Est di Murmansk;Östra Murmansk;Východní Murmansk;Keleti Murmanszk;Oost-Moermansk;Leste de Murmansk;Восточный Мурманск;Itä-Murmansk;摩尔曼斯克东部
Russia_West_Murmansk;West Murmansk;Ouest de Mourmansk;West-Murmansk;Zachodnie Murmańsk;Oeste de Múrmansk;Ovest di Murmansk;Västra Murmansk;Západní Murmansk;Nyugati Murmanszk;West-Moermansk;Oeste de Murmansk;Западный Мурманск;Länsi-Murmansk;摩尔曼斯克西部
Russia_East_Vologda;East Vologda;Est de Vologda;Ost-Wologda;Wschodnia Wołogda;Este de Vólogda;Est di Vologda;Östra Vologda;Východní Vologda;Keleti Vologda;Oost-Vologda;Leste de Vologda;Восточная Вологда;Itä-Vologda;沃洛格达东部
Russia_West_Vologda;West Vologda;Ouest de Vologda;West-Wologda;Zachodnia Wołogda;Oeste de Vólogda;Ovest di Vologda;Västra Vologda;Západní Vologda;Nyugati Vologda;West-Vologda;Oeste de Vologda;Западная Вологда;Länsi-Vologda;沃洛格达西部
Estonia_Estonia;Estonia;Estonie;Estland;Estonia;Estonia;Estonia;Estland;Estonsko;Észtország;Estland;Estónia;Эстония;Viro;爱沙尼亚
Moldova_Moldova;Moldova;Moldavie;Republik Moldau;Mołdawia;Moldavia;Moldavia;Moldavien;Moldavsko;Moldova;Moldavië;Moldávia;Молдова;Moldova;摩尔多瓦
Russia_North_Caucasus;North Caucasus;Caucase du Nord;Nordkaukasus;Północny Kaukaz;Cáucaso Septentrional;Caucaso Settentrionale;Nordkaukasus;Severní Kavkaz;Északi-Kaukázus;Noordelijke Kaukasus;Cáucaso do Norte;Северный Кавказ;Pohjois-Kaukasus;北高加索
Russia_Dagestan;Dagestan;Daghestan;Dagestan;Dagestan;Daguestán;Daghestan;Dagestan;Dagestán;Dagesztán;Dagestan;Daguestão;Дагестан;Dagestan;达吉斯坦
Belarus_Minsk;Minsk;Minsk;Minsk;Mińsk;Minsk;Minsk;Minsk;Minsk;Minszk;Minsk;Minsk;Минск;Minsk;明斯克
Belarus_Vitsyebsk;Vitsyebsk;Vitebsk;Wizebsk;Witebsk;Vítebsk;Vitebsk;Vitebsk;Vitebsk;Vityebszk;Vitebsk;Vitebsk;Витебск;Vitebsk;维捷布斯克
Belarus_Gomel;Gomel';Gomel;Gomel;Homel;Gómel;Gomel';Gomel;Homel;Gyomel;Gomel;Gomel;Гомель;Gomel;戈梅利
Belarus_Brest;Brest;Brest;Brest;Brześć;Brest;Brest;Brest;Brest;Breszt;Brest;Brest;Брест;Brest;布列斯特
Russia_Stavropol;Stavropol;Stavropol;Stawropol;Stawropol;Stávropol;Stavropol';Stavropol;Stavropol;Sztavropol;Stavropol;Stavropol;Ставрополь;Stavropol;斯塔夫罗波尔
Georgia_Georgia;Georgia;Géorgie;Georgien;Gruzja;Georgia;Georgia;Georgien;Gruzie;Grúzia;Georgië;Geórgia;Грузия;Georgia;格鲁吉亚
Ukraine_Donetsk;Donetsk;Donetsk;Donezk;Donieck;Donetsk;Donetsk;Donetsk;Doněck;Donyeck;Donetsk;Donetsk;Донецк;Donetsk;顿涅茨克
Ukraine_Kharkiv;Kharkiv;Kharkiv;Charkiw;Charków;Járkov;Kharkiv;Charkiv;Charkov;Harkov;Charkov;Kharkiv;Харьков;Harkova;哈尔科夫
Ukraine_Chernihiv;Chernihiv;Tchernigov;Tschernigow;Czernihów;Chernígov;Černihiv;Tjernigiv;Černigov;Csernyihiv;Tsjernigov;Cherniguive;Чернигов;Tšernigov;切尔尼戈夫
Ukraine_Dnipropetrovsk;Dnipropetrovsk;Dnipropetrovsk;Dnipropetrowsk;Dniepropietrowsk;Dnipropetrovsk;Dnipropetrovs'k;Dnipropetrovsk;Dnipro;Dnyepropetrovszk;Dnipro;Dnipropetrovsk;Днепропетровск;Dnipropetrovsk;第聂伯罗彼得罗夫斯克
Ukraine_Kherson;Kherson;Kherson;Cherson;Chersoń;Jersón;Kherson;Kherson;Cherson;Herszon;Cherson;Kherson;Херсон;Herson;赫尔松
Ukraine_Odesa;Odesa;Odessa;Odessa;Odesa;Odesa;Odessa;Odesa;Oděsa;Odessza;Odessa;Odessa;Одесса;Odessa;敖德萨
Ukraine_Cherkasy;Cherkasy;Tcherkassy;Tscherkassy;Czerkasy;Cherkasy;Čerkasy;Tjerkasy;Čerkasy;Cserkasz;Tsjerkassy;Cherkasy;Черкассы;Tšerkassy;切尔卡瑟
Ukraine_Kiev;Kyiv;Kiev;Kiew;Kijów;Kiev;Kiev;Kiev;Kyjev;Kijev;Kiev;Kiev;Киев;Kiova;基辅
Ukraine_Vinnytsya;Vinnytsya;Vinnitsa;Winniza;Winnyca;Vínnytsia;Vinnycja;Vinnycja;Vinnyce;Vinnica;Vinnitsja;Vinnitsia;Винница;Vinnitsa;文尼察
Ukraine_Chernivtsi;Chernivtsi;Tchernivtsi;Czernowitz;Czerniowce;Chernivtsi;Černivci;Tjernivci;Černovce;Csernyivci;Tsjernivtsi;Chernivtsi;Черновцы;Tšernivtsi;切尔诺夫策
Russia_Astrakhan;Astrakhan;Astrakhan;Astrachan;Astrachań;Astracán;Astrachan';Astrachan;Astrachaň;Asztrahán;Astrachan;Astracã;Астрахань;Astrahan;阿斯特拉罕
Ukraine_Lviv;Lviv;Lviv;Lemberg;Lwów;Lviv;Lviv;Lviv;Lvov;Lviv;Lvov;Lviv;Львов;Lviv;利沃夫
Ukraine_Lutsk;Lutsk;Loutsk;Luzk;Łuck;Lutsk;Lutsk;Lutsk;Lučk;Luccsk;Loetsk;Lutsk;Луцк;Lutsk;卢茨克
Ukraine_Crimea;Crimea;Crimée;Krim;Krym;Crimea;Crimea;Krim;Krym;Krímfélsziget;Krim;Crimeia;Крым;Krim;克里米亚
Russia_Bashkortostan;Bashkortostan;Bachkirie;Baschkortostan;Baszkiria;Bashkortostán;Bascortostan;Basjkirien;Baškortostán;Baszkíria;Basjkirië;Bascortostão;Башкортостан;Baškortostan;巴什科尔托斯坦
Russia_Belgorod;Belgorod;Belgorod;Belgorod;Biełgorod;Belgorod;Belgorod;Belgorod;Bělgorod;Belgorod;Belgorod;Belgorod;Белгород;Belgorod;别尔哥罗德
Russia_Bryansk;Bryansk;Briansk;Brjansk;Bransk;Briansk;Brjansk;Brjansk;Brjansk;Brjanszk;Brjansk;Briansk;Брянск;Brjansk;布良斯克
Russia_Chelyabinsk;Chelyabinsk;Tcheliabinsk;Tscheljabinsk;Czelabińsk;Cheliabinsk;Čeljabinsk;Tjeljabinsk;Čeljabinsk;Cseljabinszk;Tsjeljabinsk;Cheliabinsk;Челябинск;Tšeljabinsk;车里雅宾斯克
Russia_Chuvash;Chuvash;Tchouvachie;Tschuwaschien;Czuwaszja;Chuvashia;Ciuvashia;Tjuvasjien;Čuvašsko;Csuvászföld;Tsjoevasjië;Chuváchia;Чувашия;Tšuvassia;楚瓦什
Russia_Ivanovo;Ivanovo;Ivanovo;Iwanowo;Iwanowo;Ivánovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Иваново;Ivanovo;伊万诺沃
Russia_Kaliningrad;Kaliningrad;Kaliningrad;Kaliningrad;Kaliningrad;Kaliningrado;Kaliningrad;Kaliningrad;Kaliningrad;Kalinyingrád;Kaliningrad;Kaliningrado;Калининград;Kaliningrad;加里宁格勒
Russia_Kalmyk;Kalmyk;Kalmoukie;Kalmückien;Kałmucja;Kalmukia;Calmuccia;Kalmuckien;Kalmycko;Kalmükföld;Kalmukkië;Calmúquia;Калмыкия;Kalmukia;卡尔梅克
Russia_Kaluga;Kaluga;Kalouga;Kaluga;Kaługa;Kaluga;Kaluga;Kaluga;Kaluga;Kaluga;Kaluga;Kaluga;Калуга;Kaluga;卡卢加
Russia_Kirov;Kirov;Kirov;Kirow;Kirov;Kírov;Kirov;Kirov;Kirov;Kirov;Kirov;Kirov;Киров;Kirov;基洛夫
Russia_Komi-Permyak;Komi-Permyak;Komi-Permjak;Komi-Permjaken;Komi-Permiak;Komi-Permiak;Komi-Permiak;Komi-Permiak;Komi-Permjak;Komi-Permják;Komi-Permiak;Komi-Permiak;Коми-Пермяцкий;Komi-Permiak;科米-彼尔米亚克
Russia_Kostroma;Kostroma;Kostroma;Kostroma;Kostroma;Kóstroma;Kostroma;Kostroma;Kostroma;Kosztroma;Kostroma;Kostroma;Кострома;Kostroma;科斯特罗马
Russia_Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasznodar;Krasnodar;Krasnodar;Краснодар;Krasnodar;克拉斯诺达尔
Russia_Kursk;Kursk;Koursk;Kursk;Kursk;Kursk;Kursk;Kursk;Kursk;Kurszk;Koersk;Kursk;Курск;Kursk;库尔斯克
Russia_Leningrad;Leningrad;Leningrad;Leningrad;Leningrad;Leningrado;Leningrado;Leningrad;Leningrad;Leningrád;Leningrad;Leningrado;Ленинград;Leningrad;列宁格勒
Russia_Lipetsk;Lipetsk;Lipetsk;Lipezk;Lipieck;Lípetsk;Lipetsk;Lipetsk;Lipeck;Lipeck;Lipetsk;Lipetsk;Липецк;Lipetsk;利佩茨克
Russia_Mariy-El;Mariy-El;Mari El;Mari El;Mary El;Mariy-El;Mari El;Marij-El;Mari El;Mari El;Mari El;Mari El;Марий Эл;Marii El;马里埃尔
Russia_Mordovia;Mordovia;Mordovie;Mordwinien;Mordowia;Mordovia;Mordovia;Mordvinien;Mordvinsko;Mordvinföld;Mordovië;Mordóvia;Мордовия;Mordva;莫尔多瓦
Russia_Moskva;Moskva;Moscou;Moskau;Moskwa;Moscú;Mosca;Moskva;Moskva;Moszkva;Moskou;Moscovo;Москва;Moskova;莫斯科
Russia_Nizhegorod;Nizhegorod;Nijni Novgorod;Nischni Nowgorod;Niżny Nowogród;Nizhni Nóvgorod;Nižnij Novgorod;Nizjnij Novgorod;Nižnij Novgorod;Alsó-Novgorod;Nizjni Novgorod;Níjni Novgorod;Нижний Новгород;Nižni Novgorod;下诺夫哥罗德
Russia_Novgorod;Novgorod;Novgorod;Nowgorod;Nowogród;Nóvgorod;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;Новгород;Novgorod;诺夫哥罗德
Russia_Orel;Orel;Orel;Orjol;Orzeł;Óriol;Orël';Orjol;Orjol;Orjol;Orjol;Oriol;Орёл;Orjol;奥廖尔
Russia_Orenburg;Orenburg;Orenbourg;Orenburg;Orenburg;Oremburgo;Orenburg;Orenburg;Orenburg;Orenburg;Orenburg;Oremburgo;Оренбург;Orenburg;奥伦堡
Russia_Penza;Penza;Penza;Pensa;Penza;Pénza;Penza;Penza;Penza;Penzsa;Penza;Penza;Пенза;Penza;奔萨
Russia_Perm;Perm;Perm;Perm;Perm;Perm;Perm';Perm;Perm;Perm;Perm;Perm;Perm;Пермь;Perm;彼尔姆
Russia_Pskov;Pskov;Pskov;Pskow;Psków;Pskov;Pskov;Pskov;Pskov;Pszkov;Pskov;Pskov;Псков;Pihkova;普斯科夫
Russia_Rostov;Rostov;Rostov;Rostow;Rostów;Róstov;Rostov;Rostov;Rostov;Rosztov;Rostov;Rostov;Ростов;Rostov;罗斯托夫
Russia_Ryazan;Ryazan;Riazan;Rjasan;Riazań;Riázan;Rjazan';Rjazan;Rjazan;Rjazany;Rjazan;Riazan;Рязань;Rjazan;梁赞
Russia_Samara;Samara;Samara;Samara;Samara;Samara;Samara;Samara;Samara;Szamará;Samara;Samara;Самара;Samara;萨马拉
Russia_Saratov;Saratov;Saratov;Saratow;Saratów;Sarátov;Saratov;Saratov;Saratov;Szaratov;Saratov;Saratov;Саратов;Saratov;萨拉托夫
Russia_Smolensk;Smolensk;Smolensk;Smolensk;Smoleńsk;Smolensk;Smolensk;Smolensk;Smolensk;Szmolenszk;Smolensk;Smolensk;Смоленск;Smolensk;斯摩棱斯克
Russia_Tambov;Tambov;Tambov;Tambov;Tambov;Támbov;Tambov;Tambov;Tambov;Tambóv;Tambov;Tambov;Тамбов;Tambov;坦波夫
Russia_Tatarstan;Tatarstan;Tatarstan;Tatarstan;Tatarstan;Tatarstán;Tatarstan;Tatarstan;Tatarstán;Tatárföld;Tatarstan;Tataristão;Татарстан;Tatarstan;鞑靼斯坦
Russia_Tula;Tula;Toula;Tula;Tuła;Tula;Tula;Tula;Tula;Tula;Toela;Tula;Тула;Tula;图拉
Russia_Tver;Tver;Tver;Twer;Twier;Tver;Tver';Tver;Tver;Tver;Tver;Tver;Тверь;Tver;特维尔
Russia_Udmurt;Udmurt;Oudmourtie;Udmurtien;Udmurcja;Udmurtia;Udmurtia;Udmurtien;Udmurtsko;Udmurtföld;Oedmurtië;Udmúrtia;Удмуртия;Udmurtia;乌德穆尔特
Russia_Ulyanovsk;Ul'yanovsk;Oulianovsk;Uljanowsk;Uljanowsk;Uliánovsk;Ul'janovsk;Uljanovsk;Uljanovsk;Uljanovszk;Uljanovsk;Ulianovsk;Ульяновск;Uljanovsk;乌里扬诺夫斯克
Russia_Vladimir;Vladimir;Vladimir;Wladimir;Włodzimierz;Vladímir;Vladimir;Vladimir;Vladimir;Vlagyimir;Vladimir;Vladimir;Владимир;Vladimir;弗拉基米尔
Russia_Voronezh;Voronezh;Voronej;Woronesch;Woroneż;Vorónezh;Voronež;Voronezj;Voronež;Voronyezs;Voronezj;Voronej;Воронеж;Voronež;沃罗涅日
Russia_Yaroslavl;Yaroslavl;Iaroslavl;Jaroslawl;Jarosław;Yaroslavl;Jaroslavl';Jaroslavl;Jaroslavl;Jaroszláv;Jaroslavl;Iaroslavl;Ярославль;Jaroslavl;雅罗斯拉夫尔
Russia_East_Altay;East Altay;Altai oriental;Ost-Altai;Wschodni Ałtaj;Altái Oriental;Altaj Orientale;Östra Altaj;Východní Altaj;Keleti Altaj;Oost-Altaj;Altai Oriental;Восточный Алтай;Itä-Altai;阿尔泰东部
Russia_West_Altay;West Altay;Altai occidental;West-Altai;Zachodni Ałtaj;Altái Occidental;Altaj Occidentale;Västra Altaj;Západní Altaj;Nyugati Altaj;West-Altaj;Altai Ocidental;Западный Алтай;Länsi-Altai;阿尔泰西部
Russia_East_Buryat;East Buryat;Bouriatie orientale;Ost-Burjatien;Wschodnia Buriacja;Buriatia Oriental;Buriazia Orientale;Östra Burjatien;Východní Burjatsko;Keleti Bürjátföld;Oost-Boerjatië;Buriácia Oriental;Восточная Бурятия;Itä-Burjatia;布里亚特东部
Russia_North_Buryat;North Buryat;Bouriatie septentrionale;Nord-Burjatien;Północna Buriacja;Buriatia Septentrional;Buriazia Settentrionale;Norra Burjatien;Severní Burjatsko;Északi Bürjátföld;Noord-Boerjatië;Buriácia Setentrional;Северная Бурятия;Pohjois-Burjatia;布里亚特北部
Russia_South_Buryat;South Buryat;Bouriatie méridionale;Süd-Burjatien;Południowa Buriacja;Buriatia Meridional;Buriazia Meridionale;Södra Burjatien;Jižní Burjatsko;Déli Bürjátföld;Zuid-Boerjatië;Buriácia Meridional;Южная Бурятия;Etelä-Burjatia;布里亚特南部
Russia_East_Chita;East Chita;Tchita oriental;Ost-Tschiwa;Wschodnie Czita;Chitá Oriental;Cita Orientale;Östra Tjita;Východní Čita;Keleti Csita;Oost-Tsjita;Chita Oriental;Восточная Чита;Itä-Tšita;赤塔东部
Russia_South_Chita;South Chita;Tchita méridional;Süd-Tschiwa;Południowe Czita;Chitá Meridional;Cita Meridionale;Södra Tjita;Jižní Čita;Déli Csita;Zuid-Tsjita;Chita Meridional;Южная Чита;Etelä-Tšita;赤塔南部
Russia_Chukot;Chukot;Tchoukotka;Tschukotka;Czukotka;Chukotka;Ciukotka;Tjukotka;Čukotka;Csukcsföld;Tsjoekotka;Chukotka;Чукотка;Tšukotka;楚科奇
Russia_Anadyr;Anadyr;Anadyr;Anadyr;Anadyr;Anádyr;Anadyr';Anadyr;Anadyr;Anadir;Anadyr;Anadyr;Анадырь;Anadyr;阿纳德尔
Russia_Beringovsky;Beringovsky;Beringovski;Beringowski;Beringowski;Beringovski;Beringovskij;Beringovskij;Beringovskij;Beringovszkij;Beringovski;Beringovski;Беринговский;Beringovski;别林戈夫斯基
Russia_Bilibino;Bilibino;Bilibino;Bilibino;Bilibino;Bilibino;Bilibino;Bilibino;Bilibino;Bilibino;Bilibino;Bilibino;Билибино;Bilibino;比利比诺
Russia_Chaunskaya_Bay;Chaunskaya Bay;Baie de Chaun;Chaun-Bucht;Zatoka Chaunska;Bahía de Chaun;Baia di Chaun;Chaunbukten;Chaunský záliv;Chaun-öböl;Chaunbaai;Baía de Chaun;Чаунская губа;Chaunin lahti;乔恩湾
Russia_Egvekinot;Egvekinot;Egvekinot;Egwekinot;Egwekinot;Egvekinot;Egvekinot;Egvekinot;Egvekinot;Egvekinot;Egvekinot;Egvekinot;Эгвекинот;Egvekinot;埃格韦基诺特
Russia_Mys_Shmidta;Mys Shmidta;Cap Schmidt;Kap Schmidt;Mys Szmidta;Cabo Schmidt;Capo Schmidt;Schmidts udde;Mys Šmidta;Schmidt-fok;Kaap Schmidt;Cabo Schmidt;Мыс Шмидта;Šmidtin niemi;施密特角
Russia_Bodaybo;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Бодайбо;Bodaybo;博代博
Russia_Katangskiy_rayon_Irkutsk;Katangskiy rayon Irkutsk;Raïon de Katanga (Irkoutsk);Katangski rajon Irkutsk;Rejon Katangski (Irkuck);Distrito de Katanga (Irkutsk);Distretto di Katanga (Irkutsk);Katangskij rajon (Irkutsk);Katangský rajón (Irkutsk);Katangai járás (Irkutszk);Katangskij rajon (Irkutsk);Distrito de Katanga (Irkutsk);Катангский район Иркутска;Katangin piiri (Irkutsk);卡坦加区（伊尔库茨克）
Russia_Central_Irkutsk;Central Irkutsk;Irkoutsk central;Zentral-Irkutsk;Centralny Irkuck;Irkutsk Central;Irkutsk Centrale;Centrala Irkutsk;Střední Irkutsk;Középső Irkutszk;Centraal-Irkutsk;Irkutsk Central;Центральный Иркутск;Keski-Irkutsk;伊尔库茨克中部
Russia_South_Irkutsk;South Irkutsk;Irkoutsk méridional;Süd-Irkutsk;Południowy Irkuck;Irkutsk Sur;Irkutsk Meridionale;Södra Irkutsk;Jižní Irkutsk;Déli Irkutszk;Zuid-Irkutsk;Irkutsk Sul;Южный Иркутск;Etelä-Irkutsk;伊尔库茨克南部
Russia_West_Irkutsk;West Irkutsk;Irkoutsk occidental;West-Irkutsk;Zachodni Irkuck;Irkutsk Oeste;Irkutsk Occidentale;Västra Irkutsk;Západní Irkutsk;Nyugati Irkutszk;West-Irkutsk;Irkutsk Oeste;Западный Иркутск;Länsi-Irkutsk;伊尔库茨克西部
Russia_Chumikan;Chumikan;Tchoumikan;Tschumikan;Czumikan;Chumikán;Čumikan;Tjumikan;Čumikan;Csumikan;Tsjumikan;Chumikan;Чумикан;Tšumikan;丘米坎
Russia_Okhotsk;Okhotsk;Okhotsk;Ochotsk;Ochotsk;Ojotsk;Ochotsk;Ochotsk;Ochotsk;Ohotszk;Ochotsk;Okhotsk;Охотск;Ohotšk;鄂霍次克
Russia_South_Khanty-Mansi;South Khanty-Mansi;Khanty-Mansi méridional;Süd-Chanty-Mansi;Południowy Chanty-Mansijsk;Khanty-Mansi Sur;Khanty-Mansi Meridionale;Södra Khanty-Mansi;Jižní Chanty-Mansijsk;Déli Hanti-Manszijszk;Zuid-Chanty-Mansi;Khanty-Mansi Sul;Южный Ханты-Мансийск;Etelä-Hanti-Mansia;汉特-曼西南部
Russia_Surgut;Surgut;Sourgout;Surgut;Surgut;Surgut;Surgut;Surgut;Surgut;Szurgut;Surgut;Surgut;Сургут;Surgut;苏尔古特
Russia_Khanty-Mansi;Khanty-Mansi;Khanty-Mansi;Chanty-Mansi;Chanty-Mansijsk;Khanty-Mansi;Khanty-Mansi;Khanty-Mansi;Chanty-Mansijsk;Hanti-Manszijszk;Chanty-Mansi;Khanty-Mansi;Ханты-Мансийск;Hanti-Mansia;汉特-曼西
Russia_Beryozovo;Beryozovo;Berezovo;Berjosowo;Bierezowo;Beryozovo;Berezo;Beryozovo;Beryozovo;Berjózovo;Beryozovo;Beryozovo;Берёзово;Berjozovo;别廖佐沃
Russia_Nizhnevartovsk;Nizhnevartovsk;Nijnevartovsk;Nischnewartowsk;Nizhnevartovsk;Nizhnevartovsk;Nižnevartovsk;Nizjnevartovsk;Nižněvartovsk;Alsóvartovszk;Nizjnevartovsk;Nizhnevartovsk;Нижневартовск;Nizhnevartovsk;下瓦尔托夫斯克
Russia_East_Koryak;East Koryak;Koriakie orientale;Ost-Korjaken;Wschodnia Koriakia;Koriakia Oriental;Coriachia Orientale;Östra Koryakien;Východní Koryaksko;Keleti Korjákföld;Oost-Korjakië;Coriáquia Oriental;Восточная Корякия;Itä-Korjakia;科里亚克东部
Russia_North_Koryak;North Koryak;Koriakie septentrionale;Nord-Korjaken;Północna Koriakia;Koriakia Septentrional;Coriachia Settentrionale;Norra Koryakien;Severní Koryaksko;Északi Korjákföld;Noord-Korjakië;Coriáquia Setentrional;Северная Корякия;Pohjois-Korjakia;科里亚克北部
Russia_South_Koryak;South Koryak;Koriakie méridionale;Süd-Korjaken;Południowa Koriakia;Koriakia Meridional;Coriachia Meridionale;Södra Koryakien;Jižní Koryaksko;Déli Korjákföld;Zuid-Korjakië;Coriáquia Meridional;Южная Корякия;Etelä-Korjakia;科里亚克南部
Russia_North_Krasnoyarsk;North Krasnoyarsk;Krasnoïarsk septentrional;Nord-Krasnojarsk;Północny Krasnojarsk;Krasnoyarsk Septentrional;Krasnojarsk Settentrionale;Norra Krasnojarsk;Severní Krasnojarsk;Északi Krasznojarszk;Noord-Krasnojarsk;Krasnoyarsk Setentrional;Северный Красноярск;Pohjois-Krasnojarsk;克拉斯诺亚尔斯克北部
Russia_Central_Krasnoyarsk;Central Krasnoyarsk;Krasnoïarsk central;Zentral-Krasnojarsk;Centralny Krasnojarsk;Krasnoyarsk Central;Krasnojarsk Centrale;Centrala Krasnojarsk;Střední Krasnojarsk;Középső Krasznojarszk;Centraal-Krasnojarsk;Krasnoyarsk Central;Центральный Красноярск;Keski-Krasnojarsk;克拉斯诺亚尔斯克中部
Russia_East_Krasnoyarsk;East Krasnoyarsk;Krasnoïarsk oriental;Ost-Krasnojarsk;Wschodni Krasnojarsk;Krasnoyarsk Oriental;Krasnojarsk Orientale;Östra Krasnojarsk;Východní Krasnojarsk;Keleti Krasznojarszk;Oost-Krasnojarsk;Krasnoyarsk Oriental;Восточный Красноярск;Itä-Krasnojarsk;克拉斯诺亚尔斯克东部
